Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,USWD12328242,186,110.9,"26,674,909","2,673","8,562,091",19.0,"7,863,539","84,565","4,304,279","50,776,319","709,276,580","300,010",36.0,214,,4.0,"81,296",20.0,"1,639,744","2,942",,"87,704",,0
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,USUG12306072,187,110.8,"406,875,019","85,930","45,178,662",,"39,850,191","427,973","1,225","2,163,852","22,689,637","11,148,894",29.0,"4,395",109,16.0,"435,466",29.0,"1,498,994","6,021","16,555,878","964,984",,1
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214888,188,110.7,"1,421,763,497","152,592","62,313,059",78.0,"945,857,087","5,587,691","179,400","14,518,451","225,142,753","171,156,518",91.0,"72,953",191,42.0,"6,938,988",49.0,"57,148,186","17,651",,"3,087,489",,0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,USSM11914962,189,110.2,"1,237,874,594","276,882","51,153,940",67.0,"2,430,804,498","12,334,565","584,648","77,631,196","964,755,757","430,690,809",187.0,"7,602",47,95.0,"487,631",32.0,"222,732,085","88,462",,"5,329,382",,1
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,QMDA62217995,190,110.1,"804,925,777","128,247","62,532,855",75.0,"175,393,116","1,729,347","935,169","362,063,344","3,209,982,240","841,611,064",138.0,"400,246",65,65.0,"8,982,560",66.0,"21,279,325","11,614","9,065,143","6,548,714",,1
Stargazing,Stargazing,Myles Smith,5/10/2024,GBARL2400510,191,109.8,"106,599,323","9,406","164,949,597",87.0,"10,331,471","167,936",,"279,000","4,700,000","38,232,470",120.0,"11,172",14,93.0,"14,817,504",109.0,"3,667,355",548,"990,796",,,0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,USUG12204897,192,109.7,"971,473,231","239,671","77,479,207",78.0,"198,796,965","2,003,253","803,500","85,725,313","926,300,276","327,806,846",110.0,"1,041",641,18.0,"314,003",57.0,"50,899,547","48,037","24,117,364","3,142,892",,1
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013339,193,109.5,"1,125,681,368","251,023","32,574,699",72.0,"306,628,096","3,322,075","5,487,112","345,484,397","2,775,640,343","258,709,304",119.0,"372,838",744,21.0,"94,686",22.0,"224,742,683","79,225","70,901,053","3,908,069",,1
Memories,Memories,Maroon 5,9/20/2019,USUM71913350,194,109.3,"2,011,072,164","222,804","49,920,599",77.0,"1,290,292,327","11,720,744","2,377,898","155,233,360","1,458,416,059","2,403,585,054",268.0,"765,565",403,445.0,"1,033,541",50.0,"403,824,864","253,642",,"14,241,952",,0
Classy 101,Classy 101,Feid,3/31/2023,USUM72304895,195,109.1,"872,148,396","90,726","70,485,920",78.0,"477,047,694","1,887,642","459,540","102,272,836","1,113,541,743","1,850,185,458",94.0,"46,835",186,50.0,"12,249,404",55.0,"11,049,774","3,399",,"1,625,704",,1
Whatever,Whatever,Kygo,1/19/2024,USRC12302637,196,109.0,"222,354,971","17,551","159,961,203",83.0,"45,439,562","522,558",,,,"1,880,782,257",111.0,"191,358",278,171.0,"32,320,584",109.0,"10,225,886",568,,"1,421,900",,0
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,USRC12400299,197,108.4,"207,093,873","23,181","114,051,028",87.0,"19,787,472","254,004","67,400","22,398,663","298,300,000","320,540,886",61.0,"5,477",577,31.0,"1,483,573",65.0,"6,895,257","6,101","13,917,600",,,1
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,DEA622301801,198,107.8,"361,517,395","119,783","95,312,340",80.0,"37,192,341","491,577","13,334","1,804,060","35,999,853","3,117,914",56.0,"56,118",,52.0,"4,459,149",23.0,,,"5,166,756","4,372,188",,0
"yes, and?","yes, and?",Ariana Grande,1/12/2024,USUM72400048,199,107.5,"416,813,996","22,468","101,875,097",,"115,105,080","2,893,111","77,900","5,912,130","10,072,539","2,382,932,899",106.0,"79,382",114,87.0,"6,747,701",92.0,"3,441,709","3,255","1,419,525","1,028,262",,1
Without Me,Without Me,Halsey,10/4/2018,USUM71813499,200,107.4,"2,042,792,456","198,888","69,311,277",75.0,"2,018,089,906","20,528,541","3,897,257","208,270,183","2,216,715,741","2,352,917,415",180.0,"320,792",300,69.0,"646,681",89.0,"562,568,504","360,183","24,711,739","14,816,076",,1
meet the grahams,meet the grahams,Kendrick Lamar,5/3/2024,USUG12400909,201,107.3,"65,520,394","8,933","15,896,982",,"36,834,647","1,700,363",,"1,542,400","7,700,000","127,419,599",13.0,275,,7.0,"397,856",22.0,"1,062,564","2,314","1,683,570","185,009",,1
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/2023,USUG12306071,202,107.1,"328,526,298","72,252","68,612,350",,"61,769,035","1,228,629",859,"267,545","2,571,188","1,488,182,707",54.0,"99,793",16,19.0,"2,797,550",49.0,"28,093,871","6,623","6,962,286","1,198,582",,1
Shallow,Shallow,Lady Gaga,9/27/2018,USUM71813192,204,106.9,"2,447,973,078","221,822","90,174,192",78.0,"2,732,311,956","15,274,815","52,698","11,103,476","168,789,459","2,310,840,501",261.0,"228,874",135,158.0,"1,551,217",95.0,"387,105,091","651,760","1,196,386","153,863",,0
Thunder,Thunder,Imagine Dragons,4/27/2017,USUM71704167,203,106.9,"2,384,768,901","244,951","88,329,475",79.0,"2,707,166,590","16,780,231","1,839,173","79,131,934","906,537,912","222,980,374",225.0,"273,249",509,226.0,"1,148,532",43.0,"688,060,560","1,104,391",,"13,844,050",,0
Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,"371,886,608","98,009","19,411,516",67.0,"361,174,452","1,904,397","3,035,139","98,505,939","1,454,848,289","269,311,214",162.0,"85,871",230,47.0,"2,772,886",67.0,"10,681,624","3,972","9,245,741","8,870,769",,0
abcdefu,abcdefu,GAYLE,8/13/2021,USAT22103652,206,106.2,"1,128,273,165","193,857","61,311,826",70.0,"499,895,662","6,801,671","2,167,302","1,127,247,971","12,414,681,151","3,366,280,433",209.0,"470,778","1,509",79.0,"4,946,332",45.0,"154,675,499","105,068",,"7,565,502",,1
Buga,Buga,Kizz Daniel,5/3/2022,USUYG1425645,208,105.8,"86,516,910","30,835","3,440,925",57.0,"266,679,537","1,536,035","10,289,181","119,876,546","1,872,751,535","29,657,775",51.0,"13,698",,9.0,"580,760",19.0,"7,380,862","2,596",,"3,876,226",,0
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,USRC12201440,207,105.8,"1,087,938,471","220,515","63,054,597",73.0,"147,472,695","2,050,299","902,163","360,938,850","2,783,442,788","2,111,662,944",132.0,"2,962","1,461",69.0,"3,999,785",58.0,"13,639,179","45,788","26,683,563","4,118,983",,1
MONEY,LALISA,LISA,9/10/2021,KRA402100099,210,105.5,"1,189,335,848","103,236","33,637,835",73.0,"1,323,718,887","20,328,622","3,707,867","1,292,738,947","12,516,703,531","1,203,702,704",54.0,"29,685",461,29.0,"484,446",25.0,"4,765,438","18,921",,"3,720,737",,1
Columbia,Columbia,Quevedo,7/7/2023,BK4DA2310533,209,105.5,"721,002,940","84,161","56,226,278",79.0,"266,411,536","1,343,262","372,100","71,411,756","752,868,970","535,715,103",47.0,"51,158",44,39.0,"1,537,049",64.0,"260,176","1,269","120,842","1,148,958",,0
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,QM7282306246,212,105.2,"684,204,777","48,370","25,130,304",78.0,"362,779,953","1,617,493","777,100","112,400,175","1,207,597,707","297,822,969",51.0,"4,811",27,22.0,"13,901,598",32.0,"21,933,646","13,520","5,928,532","1,567,605",,1
Woman,Planet Her,Doja Cat,6/25/2021,USRC12101532,211,105.2,"1,606,950,381","217,443","95,985,096",78.0,"641,326,002","7,454,749","2,148,350","795,146,493","5,944,657,895","3,148,985,028",217.0,"414,829","1,849",84.0,"3,363,038",42.0,"64,368,314","44,396",,"5,907,933",,1
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,USSM12206232,213,104.9,"795,960,535","100,204","68,659,216",73.0,"176,996,169","1,606,296","2,762,888","945,005,125","11,215,597,325","251,341,543",182.0,"481,547",818,108.0,"3,025,424",142.0,"41,249,326","32,516",,"3,861,203",,1
KING KONG,KING KONG,TREASURE,5/28/2024,KRA402400030,214,104.5,"8,078,265",207,"12,311,489",68.0,"44,927,750","931,230",,,,,10.0,70,,5.0,572,25.0,"6,554",4,,"12,404",,0
How You Like That,How You Like That,BLACKPINK,6/25/2020,KRA402000111,215,104.5,"1,033,109,188","82,170","21,177,170",68.0,"1,584,676,582","29,210,301","10,007,464","628,046,798","7,988,463,856","328,047,537",96.0,"36,043",37,34.0,"130,559",46.0,"8,108,765","42,199",,"3,461,123",,0
Milf Song,Milf Song,The Puddleducks,8/19/2022,QZMEP2285895,216,104.5,"1,165,982","1,176","23,110",28.0,"1,704,936,540","3,631,067","1,865","1,476,436","7,758,599","1,318,392",,1,,,,,,,,"1,261",,0
Nasty,Nasty,Tinashe,4/12/2024,USLD91757578,217,104.4,"31,612,906","3,887","106,475,497",76.0,"6,277,949","171,470","535,464","171,691,158","1,051,026,401",480,38.0,"1,638",13,3.0,"153,459",69.0,"154,795","1,095","3,832,811","336,779",,0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208783,218,104.4,"706,356,280","166,277","62,975,073",77.0,"172,653,099","1,750,863","32,432","14,181,961","108,461,504","205,280,243",56.0,"72,856",331,13.0,"1,040,628",41.0,"27,896,080","16,722","22,121,803","2,363,066",,1
Panda,Panda,Desiigner,2/26/2016,USUM71601094,219,104.2,"1,181,348,550","170,002","34,000,497",62.0,"2,277,330,940","22,334,292","3,823,774","33,020,704","283,835,852","190,757,316",245.0,"22,143",113,63.0,"559,832",14.0,"375,337,428","1,442,436","212,661,473","10,372,624",,1
Push Ups,Push Ups,Drake,4/19/2024,USUG12402283,220,103.9,"107,762,230","14,601","74,447,627",,"14,792,036","301,396",,,,"26,026,257",42.0,157,6,12.0,"1,162,053",54.0,"5,661,793","2,749","3,092,295","432,776",,1
Tattoo,Tattoo,Loreen,2/25/2023,SEUM72201638,221,103.9,"518,846,340","83,033","48,268,736",77.0,"348,331,280","3,205,077","236,349","68,936,229","718,955,243","800,667,085",113.0,"216,701",,66.0,"2,861,624",54.0,"334,813","3,599",,"7,777,679",,0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,USRC12100543,222,103.4,"1,823,871,908","262,313","116,916,147",76.0,"307,855,103","2,540,592","2,074,944","1,053,759,171","8,035,914,098","2,053,577",470.0,"551,084",650,129.0,"1,850,223",98.0,"100,039,259","54,999",,"9,556,378",,1
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,USUG12301757,223,103.3,"102,772,879","29,487","4,775,168",61.0,"65,934,972","760,669","3,308,739","92,626,234","847,338,969","2,863,864",29.0,"364,224",125,7.0,"265,913",32.0,"16,502,733","8,732",,"4,072,292",,1
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,QZNN22329474,224,103.1,"4,674,619","1,841","61,398",,"108,313,521","990,782","2,200,000","35,324,159","391,444,977","1,286,981",,1,,,,,,,,,,0
Illusion,Illusion,Dua Lipa,4/11/2024,GBAHT2400114,225,103.1,"108,501,771","7,430","117,576,704",12.0,"3,947,610","60,459","3,584","4,057","38,200","165,475,383",113.0,"90,842",66,74.0,"4,720,248",75.0,"5,866,019",522,,"437,667",,1
drivers license,drivers license,Olivia Rodrigo,1/8/2021,USUG12004749,226,102.9,"2,184,754,018","250,778","70,173,770",79.0,"984,811,734","18,682,671","1,365,848","617,386,471","3,781,894,216","642,666,612",347.0,"4,173",272,214.0,"1,182,092",72.0,"77,733,001","230,402",,"11,006,064",,1
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,USSM12306461,227,102.4,"205,468,104","30,639","39,407,660",69.0,"61,624,959","1,364,492","67,350","33,519,594","503,074,793","1,819,751,244",97.0,"419,595",266,64.0,"1,571,733",62.0,"55,443,800","10,442","111,534","1,999,859",,0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,KSA012239181,229,102.3,"861,388,470","103,040","37,365,896",48.0,"15,219,067","176,594","2,107,181","407,118,298","4,388,576,830",,110.0,"152,024",624,34.0,"336,049",77.0,"21,156,145","21,450",,"5,114,752",,0
How Sweet,How Sweet,NewJeans,5/24/2024,USA2P2414843,228,102.3,"33,595,707","1,940","36,883,184",79.0,"40,327,759","965,652",,,,"164,750,613",58.0,734,2,8.0,"835,757",62.0,"63,815",100,"114,956","44,878",,0
Players,Players,Coi Leray,11/30/2022,USUM72222387,230,101.8,"465,588,517","91,658","60,607,887",67.0,"109,781,672","1,706,148","1,456,347","477,814,190","4,784,803,362","383,354,491",110.0,"453,212","7,098",42.0,"843,815",63.0,"37,137,946","16,871",,"5,620,077",,1
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,USUM71710087,231,101.8,"2,960,046,642","352,745","82,442,565",77.0,"2,391,850,868","23,334,015","196,242","40,652,322","456,931,528","370,252,952",235.0,"149,051",393,122.0,"715,708",47.0,"608,645,169","632,152",,"19,166,675",,1
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,3/11/2023,QZDA72340256,232,101.5,"11,648",6,"2,392",,"1,175,875,850","1,505,556",,,,"1,318,392",,26,,,,,,,,16,,1
Con Calma,Con Calma,Daddy Yankee,1/24/2019,US2BU1900125,236,101.4,"1,353,028,938","160,122","52,701,166",73.0,"3,207,187,334","16,913,257","1,190,870","26,028,684","319,615,777","709,817,334",184.0,"93,382",363,87.0,"1,544,771",46.0,"136,354,917","69,412",,"13,340,067",,0
Here With Me,Here With Me,d4vd,7/20/2022,QZMEM2209263,234,101.4,"1,042,311,849","154,178","58,833,842",80.0,"256,736,243","2,649,848","2,321,933","467,461,517","3,656,967,030","313,752,369",79.0,"18,211",111,48.0,"636,981",41.0,"4,556,490","10,111","15,609,794","3,315,939",,0
Favorite Song,Favorite Song,Toosii,2/17/2023,USUM72301797,235,101.4,"186,579,651","45,668","6,252,506",62.0,"231,699,320","1,670,867","249,537","11,127,302","117,325,107","533,205,544",43.0,"200,850",717,4.0,"290,227",9.0,"111,316,408","71,027","25,797,478","2,561,322",,0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,US3DF2417042,233,101.4,"158,131,138","5,423","71,590,238",85.0,"135,893,150","889,014","142,300","14,500","147,200","134,369,232",34.0,8,3,8.0,"2,319,237",15.0,"5,439,215","3,601",,"833,928",,0
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,6/5/2024,ES31E2401197,237,101.3,"186,123,398",52,"50,069",,,,,,,,,,,,,,,,,,,0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,USSM12100531,238,100.8,"1,902,241,314","316,054","50,751,390",70.0,"274,582,854","3,603,644","2,297,386","864,049,980","7,655,286,423","3,417,613",310.0,"262,285","2,026",112.0,"2,516,760",80.0,"72,087,250","72,155",,"10,553,717",,1
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,3/3/2023,QZ5FN2369288,239,100.3,"42,761",80,"1,636",16.0,"1,138,846,819","2,113,492",,,,,,5,,,,,,,,449,,0
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,USUG12306691,240,100.2,"406,821,432","20,404","26,073,555",,"23,505,530","266,969","80,218","12,641,848","113,073,762","1,569,274,837",38.0,"337,262",20,27.0,"740,249",38.0,"18,715,607","6,762",,"1,551,811",,0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,TCAGM2208561,241,100.1,"665,716,137","97,057","33,252,792",80.0,"358,206,246","2,896,698","2,900,087","216,927,444","2,653,383,273","862,779,648",33.0,"77,764",119,51.0,"27,583,086",60.0,"202,795","1,067","1,432,443","5,502,998",,0
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,USWB12201789,242,99.8,"1,262,308,912","234,936","83,890,841",74.0,"66,246,839","2,067,331","865,354","1,031,153,514","8,988,453,878","4,898,615,770",97.0,"116,337",620,40.0,"2,380,981",45.0,"9,562,991","17,436","12,895,440","4,350,230",,0
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,USSM11912587,243,99.7,"2,708,151,499","298,135","159,003,869",82.0,"872,052,223","11,269,126","1,375,118","301,076,974","2,738,127,473","2,170,262,684",554.0,"647,363",914,557.0,"4,404,589",101.0,"133,633,509","253,839",,"9,612,968",,0
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,3/23/2024,USA2P2414894,244,98.8,"172,164,034","5,517","48,983,734",82.0,"117,450,205","1,103,003",,,,"135,952,492",11.0,"1,879",,7.0,"2,124,457",16.0,"9,152,713","1,759","1,136,588","418,366",,0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,CH7811111177,245,98.5,"298,853,393","50,137","43,508,958",70.0,"112,961,806","2,336,117",,"64,504,808","928,812,348","366,430,788",63.0,4,6,43.0,"5,691,935",43.0,"2,135,934","8,861",,,,1
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,QM6P42334528,246,98.4,"717,849,037","98,440","37,797,217",72.0,"217,687,654","1,929,598","308,670","85,402,638","808,518,802","47,337,825",126.0,"57,673",125,35.0,"1,416,698",41.0,,,"4,037,512","2,076,698",,1
Yandel 150,Yandel 150,Yandel,12/20/2022,QMFMF2215173,247,98.1,"837,576,264","102,545","38,825,844",70.0,"472,335,529","1,511,715","632,917","43,022,167","631,781,362","443,395,467",60.0,"65,694",29,39.0,"5,582,630",63.0,"26,717,443","8,054",,"2,660,197",,1
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,USSM12105732,248,98.0,"1,062,095,453","165,197","75,503,476",72.0,"194,928,107","3,281,325","1,174,669","331,324,816","3,501,946,982","3,618,055,498",156.0,"830,038","2,344",83.0,"2,949,606",46.0,"54,997,089","27,977","12,581,843","5,957,065",,1
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,USSD12100202,249,98.0,"1,339,352,060","188,874","76,063,128",75.0,"873,449,363","6,108,611","3,247,015","488,004,183","4,445,597,088","1,866,730,745",208.0,"102,968",295,68.0,"4,468,373",79.0,"58,740,730","23,062",,"5,640,680",,1
Chemical,Chemical,Post Malone,4/14/2023,USUM72305205,250,97.6,"503,574,147","79,679","43,648,353",75.0,"90,349,145","902,237","20,078","8,878,995","134,469,226","476,594,485",94.0,"369,794",678,35.0,"564,291",45.0,"41,533,233","7,841","3,201,843","2,334,089",,1
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,USAT21703595,251,97.6,"1,891,920,348","159,571","73,641,738",78.0,"6,335,989,683","43,663,933","2,196,129","424,216,963","3,455,170,110","602,157,439",137.0,,5,8.0,"16,367",6.0,,,,"22,021,769",,0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,USUG11801811,252,97.5,"1,486,929,795","266,128","52,476,635",76.0,"637,733,433","4,719,266","618,523","58,332,458","523,849,646","34,010,447",147.0,"52,910",581,48.0,"263,627",13.0,"296,071,712","214,953","221,209,258","4,911,610",,1
Shooting Star,Kep1going On,Kep1er,6/3/2024,KRA492400678,253,97.3,"1,534,062",193,"3,187,862",,"28,023,956","185,464",,,,,5.0,45,,,,18.0,669,2,,"8,916",,0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,GBARL1401524,254,97.1,"1,993,030,264","256,764","149,909,699",77.0,"5,644,117,304","24,960,395","274,381","98,429,039","1,268,235,679","1,997,821,697",507.0,"160,982",366,308.0,"2,956,482",137.0,"994,708,599","2,280,901",,"23,508,115",,1
Dog's Plan,Thoughts Feelings,David Jackson,3/2/2023,USZXT2350766,255,97.0,,44,"1,243",3.0,"1,131,058,312","2,367,298",,,,,,2,,,,,,,,,,0
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,QMEU31910213,256,96.9,"853,451,422","172,458","43,607,688",71.0,"1,132,006,963","25,943,716","12,330,900","1,768,913,633","23,933,379,729","35,766,668",77.0,"189,840","2,726",51.0,"1,474,677",5.0,"31,447,967","31,569",,"3,489,217",,1
Mi Gente,Mi Gente,J Balvin,6/30/2017,FR22F1701790,257,96.4,"1,478,442,472","189,504","45,240,294",69.0,"3,859,031,931","22,147,063","163,477","67,021,310","1,018,060,369","398,243,753",291.0,"45,875",,98.0,"937,524",94.0,"334,219,832","312,657",,"19,858,741",,0
Late Night Talking,Harry's House,Harry Styles,5/20/2022,USSM12200610,258,96.4,"959,639,297","108,806","62,563,751",76.0,"151,113,156","2,809,492","101,923","64,491,271","580,526,441","3,350,044,035",153.0,"837,037","2,290",96.0,"9,426,291",50.0,"68,783,337","10,636",,"4,053,289",,0
Miss You,Miss You,Oliver Tree,8/5/2022,USAT22211992,261,96.2,"631,378,937","165,883","38,563,849",51.0,"32,628,348","615,240","1,905,732","363,515,584","5,776,425,361","13,558,530",75.0,"152,103",1,49.0,"893,762",19.0,,,"16,382,616","7,602,822",,1
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,QZLBC2200766,260,96.2,"69,931,412","13,220","8,876,286",61.0,"63,786,141","759,332","9,009,769","496,871,104","6,778,569,349","147,879",4.0,"4,180",29,,,15.0,"71,269",228,,"195,627",,0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,AEA0D2036458,259,96.2,"2,300,838",543,"19,016",35.0,"3,060,919,074","6,319,360","1,690","50,237","4,527,607",,,,,,,,,,,"16,965",,0
Dakiti,Dakiti,Bad Bunny,1/1/2020,QMFME2004132,262,96.1,"1,977,947,460","245,685","56,430,031",72.0,"1,861,597,184","10,999,677","21,703","1,119,576","21,573,356","724,908,300",265.0,"202,804",241,97.0,"3,921,489",72.0,"152,205,131","46,748",,"6,091,496",,1
Starboy,Starboy,The Weeknd,9/22/2016,USUG11600976,265,95.7,"3,291,262,413","366,133","98,022,646",84.0,"2,829,990,867","14,968,547","262,780","52,707,882","375,498,232","218,584,786",341.0,"68,441",148,118.0,"875,683",67.0,"331,295,154","418,888","23,612,071","15,648,166",,1
Sorry,Sorry,Justin Bieber,10/23/2015,USUM71516760,264,95.7,"2,089,476,497","179,545","89,286,647",78.0,"4,467,507,940","22,464,625","2,463,600","48,687,438","376,376,728","1,959,373,484",401.0,"237,066",402,161.0,"1,631,997",85.0,"420,093,148","519,614","475,010","9,657,077",,0
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,USSM12100388,263,95.7,"777,064,903","213,153","29,437,172",71.0,"482,028,631","5,431,785","1,378,861","181,697,356","1,411,545,704","326,289,844",118.0,"147,120",117,33.0,"263,058",33.0,"105,932,632","53,956","69,864,802","4,012,749",,1
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,KRA402200017,266,95.6,"736,469,450","48,251","22,817,940",68.0,"868,589,823","16,834,955","1,833,169","587,311,863","5,828,265,172","3,169,887,749",43.0,"47,080",406,20.0,"202,141",40.0,"6,401,599","10,275",,"1,547,563",,0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401040,267,95.0,"250,430,303","7,079","134,357,870",84.0,"16,747,466","251,549","148,000","52,156,902","411,722,900","45,283,900",72.0,"6,243",2,37.0,"8,927,842",76.0,"5,771,611","11,920",,"188,022",,1
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,USSM12000925,268,94.8,"1,656,385,770","283,938","62,191,957",74.0,"1,135,382,823","15,066,754","7,578,918","610,598,789","5,007,036,875","348,834,936",219.0,"200,884",305,119.0,"6,994,461",29.0,"214,867,165","150,801",,"10,905,647",,0
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208784,269,94.5,"682,837,690","155,771","28,629,209",80.0,"191,823,612","1,853,827","41,044","23,532,424","185,584,934","201,674,659",56.0,"2,067",48,4.0,"5,523",12.0,"2,323,771","3,396","18,237,169","3,246,804",,1
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,USSM12305021,270,94.3,"347,647,880","106,908","29,964,622",74.0,"30,685,665","405,870","19,100","6,796,886","53,065,653","174,680,696",57.0,"53,527",13,23.0,"327,684",49.0,"12,478,966","3,216","9,173,465","861,189",,1
California Gurls,Girl Power 2023,Katy Perry,9/19/2023,USCA21001182,271,94.2,,,,,"4,534,591","47,967",,,,,,"69,675",,,,,"316,633,718","283,271",,,,0
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214875,272,94.1,"1,108,031,580","121,256","44,739,826",77.0,"765,780,154","4,700,638","222,100","106,783,326","940,630,746","719,730,500",104.0,"74,052",113,30.0,"7,198,424",58.0,"41,077,827","11,906","9,615,729","1,644,044",,1
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,USQX91700278,273,94.0,"2,596,644,721","278,237","128,709,855",82.0,"2,822,804,239","15,242,846","350,848","80,813,727","631,258,708","277,516,825",315.0,"409,911",,420.0,"1,634,441",108.0,"588,568,899","197,928",,"16,040,973",,0
7 rings,7 rings,Ariana Grande,1/18/2019,USUM71900110,274,93.9,"2,262,490,403","179,865","89,518,199",77.0,"1,903,198,886","22,206,277","3,040,090","282,688,098","2,620,954,252","2,185,559,044",220.0,"176,589",945,87.0,"1,044,537",76.0,"301,142,482","409,686",,"7,983,512",,1
Moonlight,Moonlight,Kali Uchis,2/24/2023,USUM72219486,275,93.1,"701,558,859","110,539","46,729,655",74.0,"209,195,939","2,284,142","594,413","173,483,893","1,114,531,877","31,989,285",67.0,"15,726",126,43.0,"1,632,541",44.0,"3,448,723","9,386","8,993,848","3,204,314",,0
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,USSM12003798,276,93.1,"1,118,038,333","142,905","27,025,973",67.0,"481,447,573","3,636,839","10,104,238","420,225,179","4,530,095,073",,198.0,"394,564",200,209.0,"2,246,210",10.0,,,,"11,067,994",,1
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402910,277,93.0,"58,157,068",30,"171,325",,,,,,,,1.0,,,,,,"95,804,398","106,600",,,,0
God's Plan,Diplomatic Immunity,Drake,1/20/2018,USCM51800004,278,92.9,"2,529,948,475","313,741","79,266,167",77.0,"2,040,639,375","19,912,225","640,874","70,576,617","634,177,218","254,153,311",226.0,"14,465",442,103.0,"898,454",76.0,"527,043,451","707,727",,"9,512,236",,1
Sunroof,Sunroof,Nicky Youre,11/26/2021,QM24S2107064,279,92.3,"879,708,559","44,652","23,104,189",12.0,"74,610,328","807,333","11,172,130","1,672,193,890","22,086,963,233",,2.0,,"1,073",1.0,"11,899",,,,"6,305,169",,,0
